id,slug,name,category,status,city,area,rating,reviews_count,authority_score,website,google_maps_url
google-ChIJD1SKCSzIlxIRp05V62DKJp4,restaurante-moments-bar,Restaurante Moments Bar,bar,published,,Sineu,4.3,495,144.9096,,https://maps.google.com/?cid=11396018424721526439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ946C6r8XlhIRBaWCQF6x7FA,2-islas-die-kneipe,"2 Islas, Die Kneipe",bar,published,,Cala Ratjada,4.3,52,120.4855,,https://maps.google.com/?cid=5831230635905295621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJqTDN--LllxIRS0RBftr9380,es-canto,Es Cantó,bar,published,Sóller,Port de Sóller,4.3,334,151.5009,https://www.facebook.com/Barescantoportsoller/,https://maps.google.com/?cid=14834854812444607563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJvU92wbgslhIROcr88hazUFg,queens-bar,Queens bar,bar,published,Alcúdia,Alcúdia,4.3,42,133.6694,https://www.facebook.com/Queens-Bar-Alcudia-107257009305659/,https://maps.google.com/?cid=6363783184621816377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJCQyxVGSSlxIRuiMCAQkM8f8,ca-n-sito-bar-mallorquin,Ca'n Sito Bar Mallorquin,bar,published,Palma,Palma,4.3,860,159.7001,http://www.cansitobarmallorquin.com/,https://maps.google.com/?cid=18442535181870048186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJfwsJAGiSlxIRxFiAErBthh0,idem-coktail-bar,Idem Coktail Bar,bar,published,Palma,Palma,4.3,374,152.4806,https://idemmallorca.com/?utm_source=google&utm_medium=local&utm_campaign=gbp,https://maps.google.com/?cid=2127508476971210948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJFdmoV8NQlhIRtwRHY51o4Eo,aloha-cocktail-bar,Aloha Cocktail Bar,bar,published,,Cala d'Or,4.3,718,148.1346,,https://maps.google.com/?cid=5395427378774607031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJAyhW0GCWlxIRlcGFOtBTIF0,las-maravillas-bar,Las Maravillas Bar,bar,published,Palma,Palma,4.3,678,152.6374,http://www.lasmaravillasbar.com/,https://maps.google.com/?cid=6710455598582186389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ7TbMvKaplxIRRNIngPTMoaA,laos-market-tapas-co,Laos Market Tapas & Co.,bar,published,,Colonia de Sant Jordi,4.3,702,147.9391,,https://maps.google.com/?cid=11574757867813065284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ-X_Bqr-JlxIRJn5acf3TSfs,dubliner-bar-santa-ponca,Dubliner Bar Santa Ponça,bar,published,,Costa de la Calma,4.3,385,137.7317,,https://maps.google.com/?cid=18107236862301732390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJVxNW5snFlxIRigFxPcqdxAw,es-dau,es Dau,bar,published,,Inca,4.3,67,127.6502,,https://maps.google.com/?cid=920033715830194570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ0Rn0iMeJlxIRnHWQ_2_WnP4,the-jaggy-thistle,The Jaggy Thistle,bar,published,,Santa Ponça,4.3,339,141.6296,,https://maps.google.com/?cid=18346774758517929372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ0_vSA_qTlxIRjyq4UVG9f_s,terreno-club,Terreno Club,bar,published,Palma,Palma,4.3,182,146.249,http://www.terrenoclub.es/,https://maps.google.com/?cid=18122411582523189903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJW8WkVd4XlhIRp4fff7ziomM,epic-cala-ratjada,EPIC Cala Ratjada,bar,published,,Cala Ratjada,4.3,40,118.2557,,https://maps.google.com/?cid=7179550055209076647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJeUyUK6IslhIRS3mdIM1r8B4,bar-cafeteria-bon-apetit,Bar Cafetería Bon Apetit,bar,published,Alcúdia,Alcúdia,4.3,506,145.1002,,https://maps.google.com/?cid=2229400344308054347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
