category,name,rating,reviews_count,area,address,google_place_id,website,google_maps_url,possible_existing_slug,possible_existing_place_id
hotel,Globales Cala Bona,4.4,574,Cala Bona,"Carrer del Lliri, s/n, 07559 Cala Bona, Illes Balears",ChIJy7NzcYU_lhIRCeab37TgpTg,https://www.globales.com/en/hotels/spain/majorca/cala-bona/globales-cala-bona/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness&partner=9846,https://maps.google.com/?cid=4081915704731493897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Ars Magna Bleisure Hotel ****,4.6,571,Palma,"C. de Blanquerna, 12, Nord, 07003 Palma, Illes Balears",ChIJW9-X4f-TlxIR5iGuPsonm34,http://www.arsmagnahotel.com/,https://maps.google.com/?cid=9122929219757548006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,HOTEL CALA MURADA,4.2,567,Cala Murada,"Via Europa, 27, 07688 Cala Murada, Illes Balears",ChIJZ-Vzp0ZFlhIRnEO_n5PKiuE,http://www.hotelcalamurada.com/,https://maps.google.com/?cid=16252024940708971420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Monsuau Cala D'Or Hotel - Adults Only,4.4,566,Cala d'Or,"Av. Cala d'Or, 2, 07669 Felanitx, Illes Balears",ChIJ_Y_5GFJRlhIRieX7BLIpZuk,https://www.monsuau.com/?partner=6933,https://maps.google.com/?cid=16818175703026230665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Cupido Boutique Hotel,4.3,564,Peguera,"Carrer Eucaliptus, 5, 07160 Peguera, Illes Balears",ChIJ9R39ek4nmBIRdVEy_GDf6hc,https://www.cupidoboutiquehotel.com/?td=g00zp00&referer_code=WGY,https://maps.google.com/?cid=1723435415063646581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hostal Nadal Sóller,4.3,559,Sóller,"Carrer de sa Romaguera, 29, 07100 Sóller, Illes Balears",ChIJa2Zdwb7olxIRYB1-Tp4H96c,https://hostalnadalsoller.com/,https://maps.google.com/?cid=12103150900084612448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Paguera Treff Boutique Hotel,4.5,557,Peguera,"Bulevar de Peguera, 31, 07160 Peguera, Illes Balears",ChIJD__YBISOlxIRdR7nvVQh9jA,https://www.pagueratreff-boutiquehotel.com/en/?partner=8342utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm,https://maps.google.com/?cid=3528044005938372213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel La Concha Soul,4.4,551,Peguera,"Carrer Romana, 3, 07160 Peguera, Illes Balears",ChIJs9QSqVYnmBIRGuAv3jTYT34,https://www.laconchasoul.com/es/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,https://maps.google.com/?cid=9101731093516640282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Cabot Cap de Mar Spa,4.3,549,Cala Bona,"Polígon, Passeig Maritim de Cala Bona, 5, 07559 Son Servera, Illes Balears",ChIJq8cww48_lhIRlN9zQHAXT8k,https://cabot-hotels.com/es/cabot-cap-de-mar-spa/hotel/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness&partner=5909,https://maps.google.com/?cid=14505838695668768660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Bordoy Alcudia Port Suites (Only Adults +16),4.6,548,Port d'Alcúdia,"Mallorca, Carrer del Coral, 4, 07410 Port d'Alcúdia, Illes Balears",ChIJHXThkY4slhIRFkq5xsMSbc0,https://www.bordoyhotels.com/de/alcudia-port-suites/hotel?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=Bordoy_Alcudia_Port,https://maps.google.com/?cid=14802508182298642966&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hipotels Hipocampo,4.5,543,Cala Millor,"C/ Bonanza, 4, 07560 Cala Millor, Illes Balears",ChIJxwdHFnxAlhIRZW-ZMyzE0jQ,https://www.hipotels.com/hoteles/hipocampo/?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=hipocampo,https://maps.google.com/?cid=3806320329204789093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Universal Hotel Bikini,4.3,542,Cala Millor,"Carrer Caravel·les, 07560 Cala Millor, Illes Balears",ChIJ_8FiYnw_lhIR0KzClMVneaA,https://www.universalbeachhotels.com/hoteles/universal-hotel-bikini?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=universalhotelbikini,https://maps.google.com/?cid=11563387616552463568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Tacande Portals,4.1,537,Bendinat,"Carrer d'en Caldentei, 15, 07181 Bendinat, Illes Balears",ChIJQ-FRsYCOlxIR3bQoLIUKx-Q,https://www.dreamplacehotels.com/en/hotel-tacande-portals/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=por,https://maps.google.com/?cid=16485156528100783325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Bahia,4.4,531,Peguera,"Bulevar de Peguera, 81, 07160 Peguera, Illes Balears",ChIJnWfNWVYnmBIRoxDBTjWw7Cw,http://www.hotelbahia.com/,https://maps.google.com/?cid=3237155975173574819&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Stil Picafort Park,4.5,523,Can Picafort,"Av. Son Bauló, 2, 07458 Can Picafort, Illes Balears",ChIJ60p_QBEylhIRDrVzKxQKXYg,https://www.stilhotels.com/hoteles/mallorca/stil-picafort-park?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=StilPicafortPark,https://maps.google.com/?cid=9826021043736917262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Bahía Suites Camp de Mar,4.6,520,Camp de Mar,"Calle, Via Francisca Capllonch Plomer, 11, 07160 Camp de Mar, Illes Balears",ChIJ7XoUK9QmmBIRJt_2yILEzKs,https://cabauhotels.com/bahia-suites-camp-de-mar/,https://maps.google.com/?cid=12379485541731065638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hostal Restaurante Playa,4.2,505,Colonia de Sant Jordi,"Carrer Major, 25, 07638 Colònia de Sant Jordi, Illes Balears",ChIJecrHEKOplxIRW-qRlhkb-H4,http://www.restauranteplaya.com/,https://maps.google.com/?cid=9149092439717440091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
